electrode,variable,value,frequency
P1,33,3.208140461660887,15.653503184713376
P3,33,2.455641878417897,15.653503184713376
P5,33,0.18653834703552358,15.653503184713376
P7,33,0.9250292430196486,15.653503184713376
PO7,33,1.2502194633656276,15.653503184713376
PO3,33,0.05501762754811592,15.653503184713376
O1,33,0.2026593270223369,15.653503184713376
Pz,33,0.9201766630458416,15.653503184713376
POz,33,1.1845493959602804,15.653503184713376
Oz,33,0.11592824052080407,15.653503184713376
Iz,33,0.4640662272220052,15.653503184713376
O2,34,0.15015534874148984,16.08832271762208
PO4,34,0.1425665885989501,16.08832271762208
PO8,34,0.028354316834713195,16.08832271762208
P8,34,0.21330727559615584,16.08832271762208
P4,34,0.04671589656863195,16.08832271762208
P6,34,0.1831048757277617,16.08832271762208
P2,34,0.06062528796332549,16.08832271762208
P1,34,0.8955011540295149,16.08832271762208
P3,34,0.4430347809296665,16.08832271762208
P5,34,0.4678217275956798,16.08832271762208
P7,34,0.831697821518616,16.08832271762208
PO7,34,1.050804574937668,16.08832271762208
PO3,34,0.9738847314015112,16.08832271762208
O1,34,0.781113611480505,16.08832271762208
Pz,34,0.7166541369127161,16.08832271762208
POz,34,1.6099418955791638,16.08832271762208
Oz,34,0.36172532052461637,16.08832271762208
Iz,34,0.383616662334234,16.08832271762208
O2,35,0.17524622511942772,16.523142250530785
PO4,35,0.26393668397479775,16.523142250530785
PO8,35,0.06651396373271204,16.523142250530785
P8,35,0.07710781245775661,16.523142250530785
P4,35,0.02341280400520197,16.523142250530785
P6,35,0.03370938859897907,16.523142250530785
P2,35,0.21189013261332995,16.523142250530785
P1,35,0.417412352480232,16.523142250530785
P3,35,0.8802099035316263,16.523142250530785
P5,35,0.7760117532140671,16.523142250530785
P7,35,0.4935535067074817,16.523142250530785
PO7,35,0.15927528078620187,16.523142250530785
PO3,35,0.5085349421440442,16.523142250530785
O1,35,0.34707766148394364,16.523142250530785
Pz,35,0.3783783554315997,16.523142250530785
POz,35,1.1216544958298806,16.523142250530785
Oz,35,0.2850990187711822,16.523142250530785
Iz,35,0.21621922083226167,16.523142250530785
O2,36,0.3268431057603768,16.95796178343949
PO4,36,0.0572678107483507,16.95796178343949
PO8,36,0.09776612943190123,16.95796178343949
P8,36,0.17688594141823277,16.95796178343949
P4,36,0.03064194007160579,16.95796178343949
P6,36,0.08648228630196106,16.95796178343949
P2,36,0.1789750736696132,16.95796178343949
P1,36,0.7520653425207349,16.95796178343949
P3,36,0.5586955872293087,16.95796178343949
P5,36,0.6394723899452358,16.95796178343949
P7,36,0.25771477244260627,16.95796178343949
PO7,36,0.24022506354510925,16.95796178343949
PO3,36,0.43530637517442544,16.95796178343949
O1,36,0.7218296044084926,16.95796178343949
Pz,36,0.5092822471144888,16.95796178343949
POz,36,0.7241351847900223,16.95796178343949
Oz,36,0.481087037322831,16.95796178343949
Iz,36,0.573325291871168,16.95796178343949
